,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-08-06,3.47,0.13000000000000034,0.10895194498396678,-0.05699999999999994,0.5300000000000002,119.24,-0.03301181626425831,43.08,26.131119223264704,0.006501570604134699,7.9725,-3.165,38.264,37.78095142318001,0.007292109534502655
2024-08-07,3.48,0.125,0.1182904543018882,-0.07099999999999973,0.5489999999999999,112.69,-0.018341494359970456,30.17,28.031230787729793,-0.0021773842357381,7.745,-3.1575,37.895,38.79463437378553,-0.003947208282245596
2024-08-08,3.47,0.11900000000000022,0.11968379391678512,-0.08099999999999996,0.5510000000000002,110.42,0.004547560553026853,29.02,27.60921502169852,0.001891184172243321,7.65,-3.138,38.688,38.53095444769341,-0.01475642908871333
2024-08-09,3.47,0.12200000000000033,0.11968379391678512,-0.07200000000000006,0.5300000000000002,108.26,-0.01239864983787875,26.53,27.459023337990686,-0.0089298678669959,8.18,-3.165,37.305,38.608297063103194,0.007622213590034788
2024-08-12,3.46,0.11399999999999988,0.1196837939167854,-0.05699999999999994,0.5150000000000001,118.26,-0.011539813709468882,24.49,29.26608446616113,0.0037359900373599153,8.315,-3.183,37.338,38.6708899424563,0.004717330325517022
2024-08-13,3.49,0.14900000000000002,0.16368133353369432,-0.06000000000000005,0.5750000000000002,118.44,-0.0012221670549592556,23.64,29.294233121420596,-0.002773317763830052,8.005,-3.175,37.191,38.85626170117081,-0.008417598617856958
2024-08-14,3.49,0.15200000000000014,0.16184788179678275,-0.052999999999999936,0.6030000000000002,106.34,-0.008773602899103672,22.1,29.90424638011367,-0.004098360655737765,7.915,-3.1835,36.513,38.86961392882945,0.01262733430701457
2024-09-13,3.53,0.4299999999999997,0.101711666773753,-0.1070000000000002,0.71,100.6,-0.001290779094043959,21.68,18.58236258191004,-0.00629657228017888,8.365,-3.145,32.297,23.194257940721464,-0.023624530708163505
2024-11-07,3.43,0.367,0.3759241244831478,-0.1719999999999997,0.508,104.08,-0.00043690096781356935,19.77,18.775430497541773,-0.01031590219525258,8.94,-3.15,33.287,16.905478797428657,0.0016663839702110161
2024-11-08,3.43,0.3690000000000002,0.10648943609579235,-0.1549999999999998,0.548,99.85,0.0013569208813747347,19.03,18.838521182611256,0.00692490802856538,8.645,-3.13,32.552,16.801156617894407,-0.001172271407625658
2024-11-12,3.44,0.379,0.11046313983930427,-0.11500000000000021,0.54,108.55,0.019390439474494925,21.62,19.456081276460008,0.00481661195946903,9.28,-3.145,32.887,15.544005538735991,-0.0026669252626086992
